CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
141,185,5,"182,75",5,1,1,7,Mid-Value,Potential Loyalists
142,78,13,"908,0",5,3,2,10,High-Value,Champions
143,516,8,"518,83",4,2,1,7,Mid-Value,Potential Loyalists
144,44,1,"9,2",5,1,1,7,Mid-Value,Potential Loyalists
147,333,15,"1439,0",5,3,3,11,High-Value,Champions
148,25,7,"513,05",5,2,1,8,High-Value,Potential Loyalists
149,1409,1,"23,5",2,1,1,4,Low-Value,Can't Lose
150,1462,1,"95,4",1,1,1,3,Low-Value,Lost
151,678,3,"54,900000000000006",4,1,1,6,Mid-Value,Potential Loyalists
152,1285,1,"44,5",2,1,1,4,Low-Value,Can't Lose
153,378,2,"368,04999999999995",4,1,1,6,Mid-Value,Potential Loyalists
157,305,3,"73,55",5,1,1,7,Mid-Value,Potential Loyalists
159,333,1,"114,1",5,1,1,7,Mid-Value,Potential Loyalists
161,922,9,"527,85",3,2,1,6,Mid-Value,Potential Loyalists
162,59,3,"64,95",5,1,1,7,Mid-Value,Potential Loyalists
163,38,3,"149,6",5,1,1,7,Mid-Value,Potential Loyalists
164,605,3,"107,35",4,1,1,6,Mid-Value,Potential Loyalists
165,11,1,"87,0",5,1,1,7,Mid-Value,Potential Loyalists
166,1706,1,"254,0",1,1,1,3,Low-Value,Lost
168,11,6,"814,65",5,1,2,8,High-Value,Potential Loyalists
170,1287,1,"60,599999999999994",2,1,1,4,Low-Value,Can't Lose
171,38,5,"169,7",5,1,1,7,Mid-Value,Potential Loyalists
173,943,1,"1216,5",3,1,2,6,Mid-Value,Potential Loyalists
174,541,1,"231,2",4,1,1,6,Mid-Value,Potential Loyalists
177,571,5,"357,5",4,1,1,6,Mid-Value,Potential Loyalists
